'Airspeed','Temp','Health'
1.572138,20.99,1
2.259768,20.99,1
0.6697608,21,1
1.418884,20.99,1
2.113313,20.99,1
2.666245,20.99,1
2.506299,20.99,1
2.120675,20.99,1
2.388971,20.99,1
1.923784,20.99,1
2.169055,20.99,1
3.087214,20.99,1
1.895592,20.99,1
1.848129,20.99,1
1.627966,20.99,1
2.245136,20.99,1
1.047849,20.99,1
1.242017,20.99,1
1.267571,20.99,1
0.7018895,20.98,1
1.911873,20.99,1
2.007005,20.99,1
0.9872026,20.99,1
3.435017,20.99,1
1.295618,20.99,1
1.487301,20.99,1
2.114704,20.99,1
3.119246,20.99,1
0.4537098,20.99,1
0.7866122,20.99,1
0.7870598,20.99,1
0.5797187,20.99,1
2.470202,20.99,1
1.162918,20.99,1
0.8263632,20.99,1
1.377315,20.99,1
0.6320679,20.99,1
1.590559,20.99,1
1.498163,20.99,1
0.7452152,20.99,1
1.529581,20.99,1
1.232918,20.99,1
0.6320497,20.99,1
0.7236252,20.99,1
1.077689,20.99,1
1.422611,20.99,1
1.369963,20.99,1
1.454978,20.99,1
0.9512363,20.99,1
1.388775,20.99,1
1.426644,20.99,1
0.9541698,20.99,1
1.189861,20.99,1
1.444035,20.99,1
1.580778,20.99,1
1.17617,20.99,1
1.121263,20.99,1
1.47752,20.99,1
1.551746,20.99,1
0.5510613,20.99,1
1.259665,20.99,1
1.30642,20.99,1
1.033914,20.99,1
2.296334,20.99,1
1.267288,20.99,1
0.8453401,20.99,1
1.433963,20.99,1
1.018117,20.99,1
1.56037,20.99,1
1.669855,20.99,1
1.518118,20.99,1
3.005323,20.99,1
1.444039,20.99,1
1.432251,20.99,1
0.6545966,20.99,1
0.7662047,20.99,1
1.400146,20.99,1
1.078931,20.99,1
1.858414,20.99,1
1.570491,20.99,1
1.316376,20.99,1
1.292056,20.99,1
0.6546054,20.99,1
0.6867031,20.99,1
1.849669,20.99,1
0.2236699,20.99,1
0.7661896,20.99,1
1.3426,20.99,1
1.149203,20.99,1
2.978132,20.99,1
1.851709,20.99,1
1.143854,20.99,1
0.8885533,20.99,1
2.919457,20.99,1
2.397959,20.99,1
0.6809188,20.99,1
0.3367761,20.99,1
0.5797386,20.99,1
2.482306,20.99,1
2.66771,20.99,1
0.7149876,20.99,1
1.049132,20.99,1
1.550171,20.99,1
0.6545966,20.99,1
0.5228545,20.99,1
0.6299266,20.99,1
0.4512852,20.99,1
1.354099,20.99,1
0.6572112,20.99,1
1.255004,20.99,1
1.018814,20.99,1
1.422859,20.99,1
1.122159,20.99,1
1.292074,20.99,1
1.35076,20.99,1
1.002773,20.99,1
1.254429,20.99,1
0.7474976,20.99,1
1.647583,20.99,1
0.4566655,20.99,1
2.68548,20.99,1
1.631657,20.99,1
0.5797187,20.99,1
1.330469,20.99,1
0.5797386,20.99,1
1.660548,20.99,1
2.10082,20.99,1
0.9538006,20.99,1
2.077884,20.99,1
0.8852133,20.99,1
2.062742,20.99,1
0.4566655,20.99,1
1.136191,21.05,1
1.629937,21.03,1
1.744361,21.05,1
0.5485934,21.05,1
1.211173,20.99,1
1.093856,21.03,1
0.7771519,21.04,1
1.433959,21.08,1
1.072726,21.07,1
0.8457567,20.99,1
1.17824,20.99,1
1.162606,21.01,1
0.5221915,21.09,1
1.243829,21.05,1
0.9592517,21.02,1
0.5791108,21.06,1
1.3426,21.01,1
0.7038119,21.09,1
1.519179,21.09,1
1.161433,21.06,1
0.7684096,20.99,1
1.204231,21.08,1
2.488681,20.99,1
1.774967,20.99,1
0.1157922,21.09,1
2.115859,20.99,1
2.077884,21.09,1
0.4582433,21.09,1
0.9541698,20.99,1
1.093528,21.09,1
1.44497,21.09,1
1.876706,21.09,1
1.95125,21.09,1
2.483004,21.09,1
0.9370289,21.09,1
0.8069473,21.01,1
1.254709,20.99,1
1.885323,21,1
2.337545,20.99,1
1.815062,20.99,1
0.6320679,20.99,1
0.8427679,21.06,1
1.108256,21.09,1
1.411671,21,1
0.9681197,21.05,1
0.5742646,21.09,1
1.419372,21.1,1
1.027348,21.11,1
0.8895599,21.11,1
0.5090442,21.11,1
1.240282,21.1,1
1.107933,21.08,1
0.5797386,21.08,1
1.294226,21.09,1
1.150057,21.08,1
1.318506,21.09,1
0.6064632,21.09,1
1.454978,21.08,1
0.750635,21.08,1
2.649819,21.09,1
0.4213497,21.09,1
2.818763,21.09,1
1.267571,21.09,1
1.669855,21.09,1
1.602023,21.09,1
1.049132,21.09,1
1.68328,21.09,1
1.631657,21.09,1
0.7887747,21.09,1
0.4582181,21.09,1
1.411671,21.09,1
1.69831,21.09,1
1.660548,21.09,1
1.018808,21.09,1
1.761874,21.09,1
1.875592,21.09,1
0.4874062,21.09,1
0.5791108,21.08,1
1.729731,21.09,1
0.9512241,21.09,1
1.602235,21.09,1
1.365754,21.09,1
1.078931,21.08,1
1.242305,21.09,1
1.440781,21.09,1
0.5188969,21.09,1
1.74993,21.09,1
1.064139,21.09,1
1.148881,21.09,1
0.8638803,21.09,1
1.033914,21.09,1
0.6042503,21.08,1
0.5517106,21.09,1
1.355088,21.09,1
1.433013,21.08,1
1.203104,21.09,1
1.19997,21.09,1
2.09226,21.08,1
3.292988,21.09,1
1.375276,21.09,1
2.274609,21.09,1
1.539912,21.09,1
0.8998345,21.09,1
1.560133,21.08,1
2.022736,21.09,1
1.518943,21.09,1
1.508468,21.09,1
2.260627,21.09,1
0.9172927,21.09,1
1.63165,21.09,1
1.135321,21.08,1
1.363964,21.09,1
1.216216,21.08,1
2.698166,21.09,1
1.389029,21.09,1
1.539912,21.09,1
0.2106954,21.09,1
2.852432,21.09,1
1.841475,21.09,1
0.9868457,21.09,1
0.6566575,21.08,1
1.136506,21.09,1
0.7451997,21.09,1
2.417975,21.09,1
0.65722,21.09,1
0.7666491,21.09,1
1.422859,21.09,1
1.707618,21.09,1
0.4146638,21.09,1
0.801685,21.09,1
1.477528,21.08,1
0.2759129,21.09,1
0.6064537,21.08,1
1.602015,21.08,1
1.44497,21.09,1
1.292342,21.09,1
0.6064632,21.09,1
1.002773,21.09,1
0.5339571,21.09,1
1.729731,21.09,1
1.573474,21.08,1
0.5221915,21.09,1
0.7661896,21.08,1
1.694753,21.09,1
3.184631,21.09,1
1.27973,21.09,1
1.176464,21.09,1
1.330738,21.09,1
1.724666,21.09,1
2.006732,21.09,1
0.4881283,21.08,1
0.5797187,21.09,1
2.649821,21.09,1
0.7666642,21.09,1
1.267571,21.09,1
0.9203344,21.09,1
1.870357,21.09,1
1.377571,21.09,1
0.7421872,21.09,1
0.9199579,21.09,1
0.7870672,21.09,1
0.4566655,21.09,1
1.243824,21.09,1
1.242008,21.09,1
0.2252136,21.09,1
1.342071,21.09,1
0.9199454,21.09,1
1.816413,21.09,1
0.4881402,21.08,1
2.520192,21.09,1
1.422611,21.08,1
1.893336,21.09,1
2.130788,21.08,1
1.606899,21.09,1
1.243476,21.09,1
0.2251879,21.09,1
2.639361,21.1,1
0.8001999,21.11,1
2.07927,21.09,1
0.9537885,21.09,1
2.84735,21.08,1
1.592094,21.09,1
1.679537,21.09,1
1.631374,21.09,1
0.9029542,21.09,1
1.176464,21.09,1
1.377571,21.09,1
1.039023,21.1,1
0.7684171,21.08,1
0.9868399,21.09,1
1.943113,21.08,1
0.6789231,21.08,1
0.8453401,21.09,1
1.922607,21.08,1
1.031543,21.09,1
1.570491,21.09,1
1.216368,21.09,1
0.5221915,21.09,1
0.6572112,21.08,1
0.7236252,21.09,1
1.049132,21.09,1
0.8265868,21.09,1
2.539274,21.08,1
0.5602993,21.09,1
1.06447,21.09,1
0.7456955,21.09,1
1.191001,21.08,1
0.9340478,21.09,1
1.716871,21.08,1
2.108354,21.09,1
0.2252136,21.09,1
1.47752,21.08,1
1.150373,21.09,1
1.688944,21.09,1
1.199965,21.09,1
0.9538006,21.09,1
0.7666642,21.09,1
1.36575,21.09,1
1.122462,21.09,1
2.316206,21.09,1
1.698303,21.09,1
0.2771657,21.09,1
0.7456955,21.09,1
1.304271,21.09,1
0.6064632,21.09,1
0.6320679,21.09,1
1.191001,21.08,1
1.508713,21.08,1
1.370283,21.09,1
0.3818984,21.09,1
0.971014,21.09,1
1.606895,21.09,1
1.049132,21.08,1
1.922604,21.09,1
0.2871122,21.09,1
0.3367761,21.09,1
1.002784,21.09,1
1.592091,21.09,1
0.8497006,21.09,1
2.211526,21.09,1
1.933855,21.09,1
2.260632,21.09,1
1.570491,21.09,1
1.366012,21.09,1
0.7421716,21.09,1
1.328636,21.09,1
1.227436,21.09,1
1.433714,21.08,1
1.926721,21.09,1
0.3809598,21.09,1
1.602015,21.09,1
0.9868399,21.09,1
1.631381,21.08,1
0.9374048,21.09,1
1.729725,21.09,1
0.6809188,21.09,1
1.44497,21.09,1
1.650968,21.09,1
0.7415801,21.08,1
1.790037,21.09,1
0.5221694,21.09,1
0.6320497,21.09,1
1.306009,21.09,1
0.971014,21.09,1
1.365348,21.08,1
1.318773,21.09,1
1.623071,21.09,1
1.411679,21.08,1
0.7937953,21.08,1
3.169659,21.09,1
0.8482246,21.09,1
0.5797386,21.09,1
0.2235666,21.09,1
1.718236,21.14,1
2.131671,21.14,1
0.6809188,21.09,1
0.4222122,21.09,1
1.44497,21.08,1
0.6809018,21.09,1
0.112658,21.11,1
2.84117,21.16,1
0.4205129,21.09,1
1.136191,21.08,1
0.5228766,21.12,1
3.114156,21.16,1
1.242008,21.09,1
0.7666491,21.09,1
3.444235,21.18,1
0.5517106,21.09,1
1.388771,21.09,1
0.8482178,21.09,1
2.824374,21.18,1
1.330473,21.08,1
3.179205,21.09,1
2.167836,21.09,1
3.430396,21.18,1
1.342329,21.09,1
2.960594,21.18,1
3.476305,21.19,1
1.30642,21.11,1
1.388775,21.09,1
1.933855,21.17,1
3.273674,21.18,1
3.606736,21.19,1
2.625781,21.18,1
1.242305,21.1,1
2.159547,21.17,1
2.469351,21.18,1
2.818763,21.18,1
2.738229,21.13,1
