'Alt','Press','Temp','Health'
-3.075859,101622.5,23.41,1
-3.17605,101623.7,23.45,1
-3.241174,101624.6,23.46,1
-3.301289,101625.3,23.46,1
-3.045802,101622.1,23.46,1
-3.055821,101622.2,23.46,1
-3.221136,101624.3,23.47,1
-3.100907,101622.7,23.47,1
-3.17605,101623.7,23.47,1
-3.07085,101622.4,23.47,1
-3.17605,101623.7,23.48,1
-3.29127,101625.2,23.48,1
-3.115936,101623,23.48,1
-3.311308,101625.4,23.49,1
-3.186069,101623.8,23.49,1
-0.02176832,101624.5,23.51,1
-0.1142837,101625.5,23.52,1
-0.02176832,101624.5,23.53,1
-0.08707329,101625.3,23.53,1
-0.08163121,101625.2,23.54,1
-0.07074705,101625,23.54,1
-0.005442081,101624.3,23.54,1
-0.01632624,101624.5,23.55,1
-0.1632624,101626.2,23.55,1
-0.05986289,101624.9,23.55,1
0.09251537,101623.2,23.56,1
-0.1142837,101625.6,23.56,1
-0.01088416,101624.3,23.56,1
-0.1795887,101626.3,23.57,1
-0.1414941,101625.9,23.57,1
-0.1251678,101625.7,23.58,1
-0.0272104,101624.5,23.58,1
-0.01632624,101624.4,23.58,1
-0.1142837,101625.6,23.59,1
-0.05986289,101624.9,23.58,1
-0.03809457,101624.7,23.59,1
-0.1197258,101625.7,23.59,1
0.04897872,101623.7,23.59,1
0.04625769,101623.7,23.6,1
-0.1523783,101626,23.6,1
0.1469362,101622.5,23.61,1
-0.0272104,101624.5,23.61,1
0.1224468,101622.8,23.61,1
0.1496572,101622.5,23.62,1
-0.04353664,101624.8,23.62,1
0.05714184,101623.6,23.62,1
-0.02176832,101624.5,23.63,1
0.0408156,101623.8,23.63,1
-0.05442081,101624.9,23.63,1
-0.0272104,101624.5,23.64,1
-0.03809457,101624.7,23.64,1
0.1768676,101622.2,23.64,1
0.02448936,101623.9,23.65,1
-0.03809457,101624.7,23.65,1
0.06802601,101623.4,23.65,1
-0.04353664,101624.8,23.66,1
-0.07074705,101625.1,23.66,1
-0.1306099,101625.8,23.66,1
-0.005442081,101624.3,23.67,1
-0.1251678,101625.7,23.67,1
0.03809457,101623.8,23.67,1
-0.07074705,101625.1,23.68,1
-0.1197258,101625.7,23.68,1
-0.04897872,101624.8,23.69,1
-0.1687045,101626.2,23.69,1
0.06258392,101623.5,23.69,1
0.07346809,101623.4,23.69,1
0.01632624,101624.1,23.7,1
-0.1142837,101625.5,23.7,1
0.0136052,101624.1,23.71,1
-0.04897872,101624.8,23.71,1
0.06802601,101623.4,23.71,1
0.04625769,101623.7,23.72,1
0.1659835,101622.3,23.72,1
0.03537352,101623.8,23.72,1
0.1088416,101623,23.72,1
0.008163121,101624.1,23.73,1
0.1197258,101622.8,23.73,1
-0.08163121,101625.2,23.74,1
0.03809457,101623.8,23.74,1
-0.04353664,101624.8,23.74,1
-0.08163121,101625.2,23.75,1
-0.01088416,101624.3,23.75,1
0.06530496,101623.5,23.75,1
0.03537352,101623.8,23.76,1
0.0408156,101623.7,23.76,1
0.07346809,101623.4,23.76,1
-0.1469362,101626,23.77,1
0.07618913,101623.4,23.77,1
-0.08707329,101625.3,23.77,1
0.03809457,101623.8,23.78,1
-0.136052,101625.8,23.78,1
