'Status',No of Satellite,'HDop',Latitude,Longitude,Altitude,speed,'GCrs','Health'
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
1,0,99.99,0,0,-17,0,0,1
3,4,3.01,39.3488822,-9.3207996,62.07,0.045,0,1
3,4,3.01,39.3488782,-9.3207985,61.73,0.06900001,0,1
3,4,3.01,39.3488784,-9.3207994,61.8,0.068,0,1
3,4,3.01,39.3488789,-9.3208012,62.1,0.024,0,1
3,4,3.01,39.3488799,-9.3208059,62.93,0.214,0,1
3,4,3.01,39.3488807,-9.3208091,63.43,0.072,0,1
3,4,3.01,39.3488811,-9.3208098,63.42,0.072,0,1
3,4,3.01,39.3488808,-9.3208104,63.48,0.135,0,1
3,4,3,39.3488811,-9.3208116,63.65,0.111,0,1
3,4,3,39.3488809,-9.3208125,63.8,0.178,0,1
3,4,3,39.3488809,-9.3208131,63.87,0.087,0,1
3,4,3,39.3488812,-9.3208143,64.09,0.171,0,1
3,4,3,39.3488812,-9.3208152,64.26,0.192,0,1
3,4,3,39.3488813,-9.3208158,64.43,0.104,0,1
3,4,3,39.3488815,-9.3208167,64.67,0.232,0,1
3,4,3,39.3488818,-9.3208176,64.91,0.304,0,1
3,4,3,39.3488824,-9.3208189,65.19,0.164,0,1
3,4,3,39.3488841,-9.3208233,65.97,0.154,0,1
3,4,3,39.3488854,-9.320827,66.61,0.257,0,1
3,4,3,39.3488873,-9.3208318,67.46,0.212,0,1
3,4,3,39.3488893,-9.320837,68.36,0.112,0,1
3,4,3,39.3488914,-9.3208423,69.3,0.226,0,1
3,4,3,39.3488923,-9.3208446,69.68,0.107,0,1
3,4,3,39.348893,-9.3208463,69.97,0.152,0,1
3,4,3,39.348894,-9.3208485,70.35,0.142,0,1
3,4,3,39.348895,-9.3208506,70.73,0.146,0,1
3,4,3,39.348896,-9.320853,71.13,0.128,0,1
3,4,3,39.3488977,-9.3208569,71.82,0.08400001,0,1
3,4,3,39.3488995,-9.3208616,72.61,0.122,0,1
3,4,3,39.348901,-9.3208659,73.34,0.08800001,0,1
3,4,3,39.3489027,-9.3208707,74.17,0.067,0,1
3,4,3,39.3489038,-9.320874,74.73,0.129,0,1
3,4,3,39.3489049,-9.320877,75.23,0.023,0,1
3,4,3,39.348906,-9.3208799,75.71,0.106,0,1
3,4,3,39.348907,-9.3208824,76.14,0.119,0,1
3,4,3,39.3489077,-9.3208842,76.39,0.053,0,1
3,4,3,39.3489084,-9.3208858,76.61,0.096,0,1
3,4,3,39.348909,-9.3208869,76.78,0.079,0,1
3,4,3,39.3489094,-9.3208878,76.89,0.029,0,1
3,4,3,39.34891,-9.3208891,77.07,0.055,0,1
3,4,3,39.3489106,-9.3208907,77.3,0.02,0,1
3,4,3,39.3489112,-9.320892,77.46,0.012,0,1
3,4,3,39.3489117,-9.320893,77.59,0.086,0,1
3,4,3,39.3489122,-9.320894,77.69,0.081,0,1
3,4,3,39.3489128,-9.3208953,77.89,0.097,0,1
3,4,3,39.3489134,-9.3208969,78.15,0.022,0,1
3,4,3,39.3489138,-9.320898,78.32,0.113,0,1
3,4,3,39.3489142,-9.3208991,78.49,0.108,0,1
3,4,3,39.3489146,-9.3209003,78.66,0.018,0,1
3,4,3,39.3489151,-9.3209011,78.76,0.14,0,1
3,4,3,39.3489152,-9.3209007,78.68,0.168,0,1
3,4,3,39.3489156,-9.3209011,78.71,0.139,0,1
3,4,3,39.3489157,-9.3209012,78.67,0.102,0,1
3,4,3,39.3489162,-9.3209023,78.79,0.09900001,0,1
3,4,2.99,39.3489164,-9.3209029,78.85,0.238,0,1
3,4,2.99,39.3489165,-9.320903,78.83,0.053,0,1
3,4,2.99,39.3489163,-9.320902,78.56,0.03,0,1
3,4,2.99,39.3489163,-9.3209013,78.36,0.03,0,1
3,4,2.99,39.3489161,-9.3209004,78.14,0.027,0,1
3,4,2.99,39.3489157,-9.3208991,77.87,0.058,0,1
3,4,2.99,39.3489149,-9.3208968,77.4,0.09500001,0,1
3,5,2.05,39.3489147,-9.3208963,77.28,0.064,0,1
3,5,2.05,39.3489146,-9.3208959,77.16,0.068,0,1
3,5,2.05,39.3489147,-9.3208955,77.06,0.058,0,1
3,5,2.05,39.3489147,-9.3208951,76.96,0.043,0,1
3,5,2.05,39.3489146,-9.3208947,76.86,0.054,0,1
3,5,2.05,39.3489144,-9.3208936,76.65,0.173,0,1
3,5,2.05,39.3489144,-9.3208928,76.5,0.08800001,0,1
3,5,2.05,39.3489142,-9.3208916,76.27,0.067,0,1
3,5,2.05,39.3489138,-9.3208902,76,0.081,0,1
3,11,1.05,39.3488582,-9.3207638,53.99,0.035,0,1
3,11,1.05,39.3488383,-9.3207181,46.11,0.016,0,1
3,11,1.05,39.3488286,-9.3206959,42.31,0.036,0,1
3,11,1.05,39.348823,-9.3206829,40.09,0.039,0,1
3,11,1.05,39.3488201,-9.3206755,38.78,0.09,0,1
3,11,1.05,39.348818,-9.3206702,37.87,0.061,0,1
3,11,1.05,39.3488161,-9.3206661,37.15,0.07700001,0,1
3,11,1.05,39.3488147,-9.3206628,36.54,0.054,0,1
3,11,1.05,39.3488135,-9.3206603,36.1,0.009000001,0,1
3,11,1.05,39.3488126,-9.3206585,35.77,0.016,0,1
3,11,1.05,39.3488119,-9.3206569,35.51,0.033,0,1
3,11,1.05,39.3488113,-9.3206557,35.27,0.067,0,1
3,11,1.05,39.3488107,-9.3206545,35.09,0.012,0,1
3,11,1.05,39.3488101,-9.3206536,34.92,0.014,0,1
3,11,1.05,39.3488097,-9.3206528,34.79,0.032,0,1
3,11,1.05,39.3488092,-9.3206522,34.66,0.004,0,1
3,11,1.05,39.3488088,-9.3206515,34.53,0.048,0,1
3,11,1.05,39.3488083,-9.3206512,34.41,0.018,0,1
3,11,1.05,39.348808,-9.3206508,34.31,0.02,0,1
3,11,1.05,39.3488077,-9.3206503,34.23,0.037,0,1
3,11,1.05,39.3488074,-9.3206498,34.18,0.021,0,1
