'GyrX','GyrY','GyrZ','AccX','AccY','AccZ','T gyro','T acc','GHz','AHz','Health gyro','Health acc',,,,0
0.004592333,0.003061723,0.003057584,-0.3359105,-0.1753666,-9.518183,23.50175,23.50175,1000,1000,1,1,,,,0
-0.00550174,-0.0181513,0.002126099,0.6084438,-0.01145332,-9.230839,23.50256,23.50256,1000,1000,1,1,,,,0
1.56E-06,0.01883835,-0.001329166,-0.007496351,-0.7481594,-10.164,23.50357,23.50357,1000,1000,1,1,,,,0
-0.008056526,-0.006600827,0.0009651145,0.5832927,-0.1479964,-9.196847,23.50536,23.50536,1000,1000,1,1,,,,0
-0.002448256,-0.003560223,0.0009629381,0.2200675,-0.2355185,-9.291294,23.50923,23.50923,1000,1000,1,1,,,,0
-0.002154613,0.007562024,-0.002137821,0.09925383,-0.5018222,-9.604239,23.51729,23.51729,1000,1000,1,1,,,,0
0.003022037,-0.001168315,-8.44E-05,0.1470266,-0.2646658,-9.645438,23.52089,23.52089,1000,1000,1,1,,,,0
-0.005114578,0.00342411,-0.0003241837,0.1822968,-0.3223259,-9.490501,23.52218,23.52218,1000,1000,1,1,,,,0
0.005023817,-0.001821316,0.001107719,0.2122125,-0.3772614,-9.662421,23.5233,23.5233,1000,1000,1,1,,,,0
-0.003899658,0.002203565,0.0008700447,0.1369944,-0.2733763,-9.63529,23.52449,23.52449,1000,1000,1,1,,,,0
0.002283913,-0.001637516,0.002128324,0.1836171,-0.3353642,-9.521539,23.52549,23.52549,1000,1000,1,1,,,,0
-0.002166248,0.003082066,0.0004566662,0.1493528,-0.2280535,-9.65182,23.52652,23.52652,1000,1000,1,1,,,,0
0.000808253,-0.001744164,0.002122583,0.1450719,-0.271436,-9.636579,23.52765,23.52765,1000,1000,1,1,,,,0
0.0002876324,0.0003478659,0.001882764,0.2260158,-0.3079879,-9.569328,23.52887,23.52887,1000,1000,1,1,,,,0
-0.00138936,-0.001215976,0.001365947,0.1059185,-0.192957,-9.575506,23.53018,23.53018,1000,1000,1,1,,,,0
-4.89E-05,-0.001514005,0.001071277,0.2098027,-0.2865549,-9.597962,23.53154,23.53154,1000,1000,1,1,,,,0
0.0006445445,0.001186372,0.0001844566,0.1989087,-0.2978965,-9.585714,23.53279,23.53279,1000,1000,1,1,,,,0
-9.61E-05,-0.0008607549,0.001309936,0.1179713,-0.2237497,-9.505247,23.53385,23.53385,1000,1000,1,1,,,,0
-0.0004175003,0.0007126338,-6.83E-05,0.2309481,-0.3521628,-9.550907,23.5351,23.5351,1000,1000,1,1,,,,0
-0.0001870246,0.002779449,-0.000270486,0.1756439,-0.2407631,-9.651856,23.5362,23.5362,1000,1000,1,1,,,,0
-0.0004043074,0.0001184694,0.0001932499,0.1519713,-0.2656231,-9.646106,23.53722,23.53722,1000,1000,1,1,,,,0
-0.0007430995,0.001311299,-0.0002199477,0.1770871,-0.3194659,-9.565305,23.53825,23.53825,1000,1000,1,1,,,,0
0.0007044919,0.0004413543,-0.001233632,0.1440319,-0.2200557,-9.656275,23.5391,23.5391,1000,1000,1,1,,,,0
-0.0009728638,-0.001657314,-0.0008883766,0.1687313,-0.2896885,-9.631744,23.53989,23.53989,1000,1000,1,1,,,,0
-0.0001058449,-0.0007573685,-0.0005046175,0.1911525,-0.2559662,-9.584994,23.5406,23.5406,1000,1000,1,1,,,,0
-0.0001735831,-0.0001564954,-0.000562316,0.1255643,-0.2932433,-9.538708,23.54123,23.54123,1000,1000,1,1,,,,0
-0.0008821932,0.0002601601,-0.0003693335,0.1760887,-0.3001493,-9.577171,23.54197,23.54197,1000,1000,1,1,,,,0
0.0002778723,0.001009195,4.89E-05,0.190216,-0.3222284,-9.582856,23.5428,23.5428,1000,1000,1,1,,,,0
-0.0003366422,0.0004137276,0.0004661573,0.155349,-0.3343175,-9.531271,23.54366,23.54366,1000,1000,1,1,,,,0
-0.0007388581,0.0006473584,0.0002773225,0.1641401,-0.2953264,-9.535958,23.54466,23.54466,1000,1000,1,1,,,,0
0.00121303,0.001298715,0.001055121,0.1775585,-0.2928194,-9.643174,23.54574,23.54574,1000,1000,1,1,,,,0
0.0003622457,0.001202601,0.001390654,0.1530644,-0.2959772,-9.610415,23.54676,23.54676,1000,1000,1,1,,,,0
0.0006075818,-7.66E-05,0.001262734,0.1735404,-0.2656142,-9.580471,23.54783,23.54783,1000,1000,1,1,,,,0
0.0004997638,0.001143442,0.00149621,0.1544375,-0.2606975,-9.573428,23.54896,23.54896,1000,1000,1,1,,,,0
0.0009925573,0.000170108,0.001424489,0.1873692,-0.246426,-9.643447,23.55009,23.55009,1000,1000,1,1,,,,0
0.001545287,-0.000492124,0.00046473,0.1911665,-0.276992,-9.59977,23.55126,23.55126,1000,1000,1,1,,,,0
0.000712238,0.0003885375,0.0008159539,0.1618232,-0.2590441,-9.527997,23.55232,23.55232,1000,1000,1,1,,,,0
0.00131412,-0.0002112309,0.001547774,0.1743701,-0.2950413,-9.552538,23.55317,23.55317,1000,1000,1,1,,,,0
2.51E-05,0.0008439512,0.0003252746,0.183374,-0.3066213,-9.602175,23.55402,23.55402,1000,1000,1,1,,,,0
0.0008985292,1.02E-05,0.0002526204,0.1854653,-0.2849957,-9.560049,23.55472,23.55472,1000,1000,1,1,,,,0
-0.0002839357,0.001072347,0.0002525441,0.1549186,-0.3085757,-9.5336,23.55544,23.55544,1000,1000,1,1,,,,0
4.98E-05,0.001440414,0.0002907088,0.1754597,-0.2862573,-9.595586,23.55587,23.55587,1000,1000,1,1,,,,0
0.0004086958,-0.000101738,-0.0001962017,0.1720282,-0.2883764,-9.596786,23.5564,23.5564,1000,1000,1,1,,,,0
7.57E-05,0.0001540133,0.000382011,0.1488003,-0.2807069,-9.562675,23.55712,23.55712,1000,1000,1,1,,,,0
-0.0001118433,0.0001388687,0.000523614,0.1519976,-0.2546048,-9.61188,23.55795,23.55795,1000,1000,1,1,,,,0
-4.09E-05,-0.0002915824,0.0001724728,0.1542706,-0.2927427,-9.603765,23.55871,23.55871,1000,1000,1,1,,,,0
-0.000662245,0.0002378833,0.0002769175,0.173263,-0.2970061,-9.61389,23.55946,23.55946,1000,1000,1,1,,,,0
0.0008852364,-0.000243502,0.0008252382,0.1636821,-0.303945,-9.56358,23.56024,23.56024,1000,1000,1,1,,,,0
-0.0007616134,0.00124659,2.43E-05,0.1576284,-0.3020465,-9.567762,23.56072,23.56072,1000,1000,1,1,,,,0
-0.0007620694,0.001052269,0.0007645915,0.1622653,-0.3020403,-9.620215,23.56114,23.56114,1000,1000,1,1,,,,0
-0.0005091107,4.44E-05,0.0008568789,0.1881591,-0.3090014,-9.592688,23.56162,23.56162,1000,1000,1,1,,,,0
-0.0002184511,0.0001020446,0.0004080753,0.1695784,-0.2928141,-9.549721,23.56201,23.56201,1000,1000,1,1,,,,0
-5.32E-05,0.002136277,0.0008709806,0.1751623,-0.2840419,-9.610102,23.56224,23.56224,1000,1000,1,1,,,,0
-0.0001337066,0.0005135976,0.001599423,0.1883463,-0.2558827,-9.635213,23.56235,23.56235,1000,1000,1,1,,,,0
-0.0004818703,0.0001921104,0.001030314,0.1825647,-0.2609201,-9.625709,23.5625,23.5625,1000,1000,1,1,,,,0
0.0007291086,0.0002211367,0.0006702476,0.1702184,-0.2587399,-9.58173,23.5627,23.5627,1000,1000,1,1,,,,0
-0.0001378255,0.0001168918,0.0006927031,0.188553,-0.2539703,-9.606947,23.56257,23.56257,1000,1000,1,1,,,,0
0.00101815,-0.0006307036,0.0005663872,0.1814334,-0.281668,-9.593508,23.56292,23.56292,1000,1000,1,1,,,,0
-0.0001039029,-0.0008239312,0.0007093572,0.1862631,-0.2664705,-9.601156,23.56332,23.56332,1000,1000,1,1,,,,0
0.001191737,-0.000940297,-9.97E-05,0.17125,-0.2866465,-9.58416,23.56371,23.56371,1000,1000,1,1,,,,0
0.0004425826,4.86E-06,0.0002385081,0.1783386,-0.3077302,-9.595887,23.56385,23.56385,1000,1000,1,1,,,,0
-0.0001053639,-5.38E-05,0.0001019778,0.1729188,-0.3113055,-9.565853,23.56359,23.56359,1000,1000,1,1,,,,0
