'MagX','MagY',MagZ','Health',,,,,0
386,45,648,1,,,,,0
384,42,656,1,,,,,0
384,31,665,1,,,,,0
382,33,666,1,,,,,0
383,35,667,1,,,,,0
382,27,663,1,,,,,0
385,31,664,1,,,,,0
386,30,664,1,,,,,0
385,30,663,1,,,,,0
386,28,664,1,,,,,0
384,31,670,1,,,,,0
386,33,667,1,,,,,0
386,33,664,1,,,,,0
386,32,662,1,,,,,0
387,31,666,1,,,,,0
390,32,662,1,,,,,0
387,32,660,1,,,,,0
386,30,662,1,,,,,0
385,31,664,1,,,,,0
385,33,666,1,,,,,0
390,46,654,1,,,,,0
396,46,646,1,,,,,0
396,39,649,1,,,,,0
392,35,651,1,,,,,0
387,36,657,1,,,,,0
388,32,661,1,,,,,0
385,37,659,1,,,,,0
386,31,658,1,,,,,0
388,35,657,1,,,,,0
384,35,661,1,,,,,0
383,33,663,1,,,,,0
383,33,662,1,,,,,0
386,29,662,1,,,,,0
386,31,663,1,,,,,0
386,32,664,1,,,,,0
384,30,663,1,,,,,0
383,30,662,1,,,,,0
385,30,666,1,,,,,0
386,30,668,1,,,,,0
383,33,668,1,,,,,0
383,35,661,1,,,,,0
384,31,664,1,,,,,0
385,29,664,1,,,,,0
384,32,667,1,,,,,0
387,32,662,1,,,,,0
385,32,663,1,,,,,0
382,30,664,1,,,,,0
382,26,664,1,,,,,0
384,27,666,1,,,,,0
384,31,665,1,,,,,0
385,30,663,1,,,,,0
384,27,671,1,,,,,0
382,30,666,1,,,,,0
385,32,668,1,,,,,0
387,32,668,1,,,,,0
384,33,666,1,,,,,0
385,32,663,1,,,,,0
384,29,665,1,,,,,0
387,32,665,1,,,,,0
387,31,665,1,,,,,0
389,31,662,1,,,,,0
388,30,660,1,,,,,0
385,28,662,1,,,,,0
385,32,661,1,,,,,0
386,32,657,1,,,,,0
387,32,661,1,,,,,0
382,32,661,1,,,,,0
377,31,662,1,,,,,0
382,31,661,1,,,,,0
383,31,663,1,,,,,0
384,30,663,1,,,,,0
384,29,661,1,,,,,0
382,26,666,1,,,,,0
383,30,667,1,,,,,0
385,31,666,1,,,,,0
383,31,659,1,,,,,0
380,32,659,1,,,,,0
381,28,658,1,,,,,0
381,31,660,1,,,,,0
383,29,658,1,,,,,0
382,30,659,1,,,,,0
382,31,658,1,,,,,0
381,29,660,1,,,,,0
381,31,659,1,,,,,0
384,31,658,1,,,,,0
385,31,664,1,,,,,0
383,34,663,1,,,,,0
383,29,663,1,,,,,0
382,30,664,1,,,,,0
380,31,664,1,,,,,0
382,31,665,1,,,,,0
381,31,666,1,,,,,0
381,33,662,1,,,,,0
383,34,662,1,,,,,0
382,34,656,1,,,,,0
382,36,657,1,,,,,0
380,32,659,1,,,,,0
380,30,659,1,,,,,0
384,31,661,1,,,,,0
381,33,660,1,,,,,0
384,34,664,1,,,,,0
382,31,661,1,,,,,0
382,29,660,1,,,,,0
382,32,663,1,,,,,0
382,32,660,1,,,,,0
385,35,662,1,,,,,0
388,36,660,1,,,,,0
385,34,661,1,,,,,0
384,35,658,1,,,,,0
384,33,658,1,,,,,0
383,32,658,1,,,,,0
382,31,660,1,,,,,0
382,31,664,1,,,,,0
380,32,662,1,,,,,0
379,29,662,1,,,,,0
380,31,665,1,,,,,0
383,32,662,1,,,,,0
382,31,666,1,,,,,0
382,32,666,1,,,,,0
383,32,667,1,,,,,0
380,32,666,1,,,,,0
382,34,669,1,,,,,0
378,32,671,1,,,,,0
381,34,669,1,,,,,0
382,33,667,1,,,,,0
383,35,668,1,,,,,0
383,37,665,1,,,,,0
381,30,668,1,,,,,0
380,33,662,1,,,,,0
382,35,656,1,,,,,0
380,32,656,1,,,,,0
381,32,659,1,,,,,0
380,29,662,1,,,,,0
381,27,665,1,,,,,0
382,30,665,1,,,,,0
382,32,663,1,,,,,0
380,33,661,1,,,,,0
379,29,664,1,,,,,0
378,33,665,1,,,,,0
380,34,665,1,,,,,0
382,35,665,1,,,,,0
384,31,663,1,,,,,0
386,31,663,1,,,,,0
383,33,663,1,,,,,0
385,32,659,1,,,,,0
385,31,658,1,,,,,0
386,31,654,1,,,,,0
386,30,658,1,,,,,0
386,31,658,1,,,,,0
385,32,660,1,,,,,0
383,33,659,1,,,,,0
382,32,661,1,,,,,0
382,27,665,1,,,,,0
384,30,664,1,,,,,0
383,31,665,1,,,,,0
387,30,664,1,,,,,0
384,31,664,1,,,,,0
385,28,660,1,,,,,0
384,29,659,1,,,,,0
384,31,659,1,,,,,0
385,28,660,1,,,,,0
384,31,662,1,,,,,0
381,28,663,1,,,,,0
386,29,668,1,,,,,0
383,28,669,1,,,,,0
384,30,668,1,,,,,0
386,31,668,1,,,,,0
387,29,669,1,,,,,0
384,31,667,1,,,,,0
385,32,664,1,,,,,0
384,35,665,1,,,,,0
382,36,663,1,,,,,0
383,32,662,1,,,,,0
380,29,664,1,,,,,0
378,29,664,1,,,,,0
382,28,661,1,,,,,0
382,30,658,1,,,,,0
382,31,664,1,,,,,0
383,31,662,1,,,,,0
380,31,666,1,,,,,0
381,30,668,1,,,,,0
380,31,669,1,,,,,0
377,27,669,1,,,,,0
380,29,671,1,,,,,0
383,30,666,1,,,,,0
383,28,666,1,,,,,0
382,29,667,1,,,,,0
379,27,665,1,,,,,0
380,32,664,1,,,,,0
382,29,660,1,,,,,0
381,28,664,1,,,,,0
379,30,662,1,,,,,0
379,25,665,1,,,,,0
380,25,660,1,,,,,0
384,28,659,1,,,,,0
378,29,664,1,,,,,0
378,30,663,1,,,,,0
379,25,662,1,,,,,0
381,27,662,1,,,,,0
380,26,665,1,,,,,
379,26,663,1,,,,,
381,28,659,1,,,,,
379,26,667,1,,,,,
382,28,664,1,,,,,
383,26,664,1,,,,,
380,30,667,1,,,,,
382,30,664,1,,,,,
379,28,664,1,,,,,
379,28,661,1,,,,,
380,28,658,1,,,,,
375,30,660,1,,,,,
378,27,659,1,,,,,
380,27,661,1,,,,,
378,31,654,1,,,,,
